ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
H-0_carpenter-1-1,H-0_carpenter-1,ács,1,false,expert,wot,- - aː t͡ʃ -,library,
EAH-0_carpenter-1-1,EAH-0_carpenter-1,aγači,1,false,expert,wot,a ɣ a t͡ʃ i,library,
WOT-0_carpenter-1-1,WOT-0_carpenter-1,aγaččï,1,false,expert,wot,a ɣ a t͡ʃː ɯ,library,
H-1_cannoncatapult-1-1,H-1_cannoncatapult-1,ágyú,2,false,expert,wot,aː - ɟ uː -,library,
OH-1_cannoncatapult-1-1,OH-1_cannoncatapult-1,āldʹū,2,false,expert,wot,aː l ɟ uː -,library,
LAH-1_cannoncatapult-1-1,LAH-1_cannoncatapult-1,aldau̯,2,false,expert,wot,a l d a w,library,
EAH-1_cannoncatapult-1-1,EAH-1_cannoncatapult-1,aldaγ,2,false,expert,wot,a l d a ɣ,library,
WOT-1_cannoncatapult-1-1,WOT-1_cannoncatapult-1,aldaγ,2,false,expert,wot,a l d a ɣ,library,
H-2_tofondlepetcaress-1-1,H-2_tofondlepetcaress-1,ajnároz,3,false,expert,wot,ɒ j n aː r o z,library,
EAH-2_tofondlepetcaress-1-1,EAH-2_tofondlepetcaress-1,ayan,3,false,expert,wot,a j - a - - n,library,
WOT-2_tofondlepetcaress-1-1,WOT-2_tofondlepetcaress-1,ayan,3,false,expert,wot,a j - a - - n,library,
H-4_streamcurrent-1-1,H-4_streamcurrent-1,ákos,4,false,expert,wot,aː k o ʃ,library,
H-4_streamcurrent-2-1,H-4_streamcurrent-2,ágos,5,false,expert,wot,aː ɡ o ʃ,library,
H-5_falseimitation-1-1,H-5_falseimitation-1,ál,6,false,expert,wot,aː l,library,
EAH-5_falseimitation-1-1,EAH-5_falseimitation-1,āl,6,false,expert,wot,aː l,library,
WOT-5_falseimitation-1-1,WOT-5_falseimitation-1,al,6,false,expert,wot,a l,library,
H-9_piedofananimalscoat-1-1,H-9_piedofananimalscoat-1,alacs,7,false,expert,wot,ɒ l ɒ t͡ʃ -,library,
EAH-9_piedofananimalscoat-1-1,EAH-9_piedofananimalscoat-1,alač,7,false,expert,wot,a l a t͡ʃ -,library,
WOT-9_piedofananimalscoat-1-1,WOT-9_piedofananimalscoat-1,alačï,7,false,expert,wot,a l a t͡ʃ ɯ,library,
H-9_piedofananimalscoat-2-1,H-9_piedofananimalscoat-2,alacs,8,false,expert,wot,ɒ l ɒ t͡ʃ -,library,
EAH-9_piedofananimalscoat-2-1,EAH-9_piedofananimalscoat-2,alač,8,false,expert,wot,a l a t͡ʃ -,library,
WOT-9_piedofananimalscoat-2-1,WOT-9_piedofananimalscoat-2,alaču,8,false,expert,wot,a l a t͡ʃ u,library,
H-9_piedofananimalscoat-3-1,H-9_piedofananimalscoat-3,alacs,9,false,expert,wot,ɒ l ɒ t͡ʃ -,library,
EAH-9_piedofananimalscoat-3-1,EAH-9_piedofananimalscoat-3,alač,9,false,expert,wot,a l a t͡ʃ -,library,
WOT-9_piedofananimalscoat-3-1,WOT-9_piedofananimalscoat-3,alačo,9,false,expert,wot,a l a t͡ʃ o,library,
H-9_piedofananimalscoat-4-1,H-9_piedofananimalscoat-4,alacs,10,false,expert,wot,ɒ l ɒ t͡ʃ,library,
EAH-9_piedofananimalscoat-4-1,EAH-9_piedofananimalscoat-4,alač,10,false,expert,wot,a l a t͡ʃ,library,
WOT-9_piedofananimalscoat-4-1,WOT-9_piedofananimalscoat-4,ålåč,10,false,expert,wot,ɒ l ɒ t͡ʃ,library,
H-10_apple-1-1,H-10_apple-1,alma,11,false,expert,wot,ɒ l m ɒ,library,
EAH-10_apple-1-1,EAH-10_apple-1,alma,11,false,expert,wot,a l m a,library,
WOT-10_apple-1-1,WOT-10_apple-1,alma,11,false,expert,wot,a l m a,library,
H-12_barrelwoodencontainerandstandardquantity-1-1,H-12_barrelwoodencontainerandstandardquantity-1,általag,12,false,expert,wot,aː l t ɒ l ɒ ɡ,library,
EAH-12_barrelwoodencontainerandstandardquantity-1-1,EAH-12_barrelwoodencontainerandstandardquantity-1,altalag,12,false,expert,wot,a l t a l a ɡ,library,
WOT-12_barrelwoodencontainerandstandardquantity-1-1,WOT-12_barrelwoodencontainerandstandardquantity-1,altïlïg,12,false,expert,wot,a l t ɯ l ɯ ɡ,library,
H-12_barrelwoodencontainerandstandardquantity-2-1,H-12_barrelwoodencontainerandstandardquantity-2,átalag,13,false,expert,wot,aː - t ɒ l ɒ ɡ,library,
EAH-12_barrelwoodencontainerandstandardquantity-2-1,EAH-12_barrelwoodencontainerandstandardquantity-2,altalag,13,false,expert,wot,a l t a l a ɡ,library,
WOT-12_barrelwoodencontainerandstandardquantity-2-1,WOT-12_barrelwoodencontainerandstandardquantity-2,altïlïg,13,false,expert,wot,a l t ɯ l ɯ ɡ,library,
H-13_tonursetakecareof-1-1,H-13_tonursetakecareof-1,ápol,14,false,expert,wot,aː p o l,library,
OH-13_tonursetakecareof-1-1,OH-13_tonursetakecareof-1,apol,14,false,expert,wot,a p o l,library,
EAH-13_tonursetakecareof-1-1,EAH-13_tonursetakecareof-1,op,14,false,expert,wot,o p - -,library,
WOT-13_tonursetakecareof-1-1,WOT-13_tonursetakecareof-1,op,14,false,expert,wot,o p - -,library,
H-14_todecayputrifyturnstale-1-1,H-14_todecayputrifyturnstale-1,áporodik,15,false,expert,wot,aː p o r o d i k,library,
EAH-14_todecayputrifyturnstale-1-1,EAH-14_todecayputrifyturnstale-1,oporo,15,false,expert,wot,o p o r o - - -,library,
WOT-14_todecayputrifyturnstale-1-1,WOT-14_todecayputrifyturnstale-1,opura,15,false,expert,wot,o p u r a - - -,library,
H-15_smalltiny-1-1,H-15_smalltiny-1,apró,16,false,expert,wot,ɒ p - r oː -,library,
OH-15_smalltiny-1-1,OH-15_smalltiny-1,oprau̯,16,false,expert,wot,o p - r a w,library,
EAH-15_smalltiny-1-1,EAH-15_smalltiny-1,opuruγ,16,false,expert,wot,o p u r u ɣ,library,
WOT-15_smalltiny-1-1,WOT-15_smalltiny-1,opuruγ,16,false,expert,wot,o p u r u ɣ,library,
H-17_tomow-1-1,H-17_tomow-1,arat,17,false,expert,wot,ɒ r ɒ t,library,
EAH-17_tomow-1-1,EAH-17_tomow-1,orat,17,false,expert,wot,o r a t,library,
WOT-17_tomow-1-1,WOT-17_tomow-1,orat,17,false,expert,wot,o r a t,library,
H-17_tomow-2-1,H-17_tomow-2,arat,18,false,expert,wot,ɒ r ɒ t,library,
EAH-17_tomow-2-1,EAH-17_tomow-2,orat,18,false,expert,wot,o r a t,library,
WOT-17_tomow-2-1,WOT-17_tomow-2,or,18,false,expert,wot,o r - -,library,
H-18_todecayputrefygobadoffoodwater-1-1,H-18_todecayputrefygobadoffoodwater-1,árik,19,false,expert,wot,aː r i k,library,
EAH-18_todecayputrefygobadoffoodwater-1-1,EAH-18_todecayputrefygobadoffoodwater-1,ār,19,false,expert,wot,aː r - -,library,
WOT-18_todecayputrefygobadoffoodwater-1-1,WOT-18_todecayputrefygobadoffoodwater-1,ar,19,false,expert,wot,a r - -,library,
H-19_toharm-1-1,H-19_toharm-1,árt,20,false,expert,wot,aː r - - t,library,
EAH-19_toharm-1-1,EAH-19_toharm-1,ārtat,20,false,expert,wot,aː r t a t,library,
WOT-19_toharm-1-1,WOT-19_toharm-1,artat,20,false,expert,wot,a r t a t,library,
H-20_atypeoflasso-1-1,H-20_atypeoflasso-1,árkány,21,false,expert,wot,aː r k aː ɲ,library,
EAH-20_atypeoflasso-1-1,EAH-20_atypeoflasso-1,arkan,21,false,expert,wot,a r k a n,library,
H-21_ditchcanal-1-1,H-21_ditchcanal-1,árok,22,false,expert,wot,aː r o k,library,
EAH-21_ditchcanal-1-1,EAH-21_ditchcanal-1,āruk,22,false,expert,wot,aː r u k,library,
WOT-21_ditchcanal-1-1,WOT-21_ditchcanal-1,aruk,22,false,expert,wot,a r u k,library,
H-22_barleyhordeum-1-1,H-22_barleyhordeum-1,árpa,23,false,expert,wot,aː r p ɒ,library,
EAH-22_barleyhordeum-1-1,EAH-22_barleyhordeum-1,arpa,23,false,expert,wot,a r p a,library,
WOT-22_barleyhordeum-1-1,WOT-22_barleyhordeum-1,arpa,23,false,expert,wot,a r p a,library,
H-23_barrow-1-1,H-23_barrow-1,ártány,24,false,expert,wot,aː r - t aː ɲ,library,
EAH-23_barrow-1-1,EAH-23_barrow-1,aritan,24,false,expert,wot,a r i t a n,library,
WOT-23_barrow-1-1,WOT-23_barrow-1,arïtan,24,false,expert,wot,a r ɯ t a n,library,
H-24_gauntrygantryforsupportingbarrels-1-1,H-24_gauntrygantryforsupportingbarrels-1,ászok,25,false,expert,wot,aː s o k -,library,
OH-24_gauntrygantryforsupportingbarrels-1-1,OH-24_gauntrygantryforsupportingbarrels-1,ask,25,false,expert,wot,a s - k -,library,
EAH-24_gauntrygantryforsupportingbarrels-1-1,EAH-24_gauntrygantryforsupportingbarrels-1,aski,25,false,expert,wot,a s - k i,library,
WOT-24_gauntrygantryforsupportingbarrels-1-1,WOT-24_gauntrygantryforsupportingbarrels-1,askï,25,false,expert,wot,a s - k ɯ,library,
H-25_charm-1-1,H-25_charm-1,báj,26,false,expert,wot,b aː j,library,
EAH-25_charm-1-1,EAH-25_charm-1,bay,26,false,expert,wot,b a j,library,
WOT-25_charm-1-1,WOT-25_charm-1,bay,26,false,expert,wot,b a j,library,
H-26_soggyplacemoorswampmarsh-1-1,H-26_soggyplacemoorswampmarsh-1,balkány,27,false,expert,wot,b ɒ l k aː ɲ,library,
EAH-26_soggyplacemoorswampmarsh-1-1,EAH-26_soggyplacemoorswampmarsh-1,balkan,27,false,expert,wot,b a l k a n,library,
WOT-26_soggyplacemoorswampmarsh-1-1,WOT-26_soggyplacemoorswampmarsh-1,balkan,27,false,expert,wot,b a l k a n,library,
H-27_hatchetaxe-1-1,H-27_hatchetaxe-1,balta,28,false,expert,wot,b ɒ l t ɒ,library,
EAH-27_hatchetaxe-1-1,EAH-27_hatchetaxe-1,balta,28,false,expert,wot,b a l t a,library,
